Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
11-03-2025,16:10:25,CNR9233403478,Success,CUST731894,Prime Plus,Cox Town,Richmond Town,12,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,790,Cash,6.38,4.1,3.8
01-03-2025,18:33:30,CNR3438996571,Success,CUST225705,Bike,HAL Layout,Sarjapur,7,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,1180,Wallet,14.76,3.9,3
30-03-2025,05:04:28,CNR5193003700,Success,CUST318388,Bike,Hosur Road,Kumaraswamy Layout,9,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,648,Wallet,9.53,4.2,3.2
01-03-2025,08:28:09,CNR5837638316,Success,CUST230291,Prime Sedan,Whitefield,Jayanagar,14,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,595,UPI,13.41,4.3,4.5
31-03-2025,11:45:29,CNR3572797772,Success,CUST546802,Prime SUV,Jalahalli,Majestic,10,18,0,Not Applicable,0,Not Applicable,0,Not Applicable,564,Debit Card,19.42,4.9,3.1
24-03-2025,23:19:52,CNR2581604120,Success,CUST439394,Auto,RT Nagar,Indiranagar,10,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,247,Debit Card,7.93,3.2,3.3
27-03-2025,10:23:01,CNR1307204844,Success,CUST538995,Prime Plus,Cox Town,KR Puram,8,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,193,Debit Card,5.34,4,3.3
01-03-2025,23:42:36,CNR1751984146,Success,CUST730797,eBike,Peenya,Lavelle Road,3,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,472,Net Banking,4.57,4.9,4
09-03-2025,20:54:14,CNR3169555123,Success,CUST637829,Prime SUV,KR Market,RT Nagar,12,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,1042,UPI,6.02,3.2,3.1
16-03-2025,05:58:24,CNR3326755515,Cancelled by Driver,CUST935670,Bike,Basaveshwaranagar,Hosur Road,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,UPI,0,0,0
09-03-2025,00:45:08,CNR8805041377,Success,CUST578656,Mini,Ulsoor,Cox Town,14,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,1835,Credit Card,18.45,4.6,3.7
04-03-2025,16:42:16,CNR3412168092,Incomplete,CUST896906,Prime SUV,Domlur,Seshadripuram,0,0,0,Not Applicable,0,Not Applicable,1,Other Issue,0,Wallet,0,0,0
12-03-2025,08:12:42,CNR4109309333,Cancelled by Driver,CUST575551,Auto,Rajajinagar,Richmond Town,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Wallet,0,0,0
10-03-2025,15:27:23,CNR4731333138,Cancelled by Driver,CUST193561,Prime Plus,Ulsoor,RT Nagar,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Net Banking,0,0,0
10-03-2025,22:00:23,CNR3100853259,Success,CUST701953,Prime Sedan,Indiranagar,Koramangala,12,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,542,Credit Card,18.33,3.5,4.8
14-03-2025,16:21:33,CNR3010391495,Cancelled by Driver,CUST689535,Mini,Wilson Garden,Frazer Town,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Cash,0,0,0
08-03-2025,18:49:02,CNR5348679224,Success,CUST466809,Bike,Majestic,Ulsoor,4,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,1035,Net Banking,17.69,3.7,4.4
06-03-2025,06:00:03,CNR1908853616,Success,CUST474650,Prime Plus,Bommanahalli,Richmond Town,11,5,0,Not Applicable,0,Not Applicable,0,Not Applicable,75,Credit Card,12.07,3.7,4.6
30-03-2025,14:47:00,CNR8634883791,Incomplete,CUST440934,Auto,Jayanagar,Sarjapur,0,0,0,Not Applicable,0,Not Applicable,1,Customer Demand,0,Debit Card,0,0,0
30-03-2025,13:51:42,CNR4585317244,Success,CUST110055,Prime SUV,Peenya,Majestic,5,5,0,Not Applicable,0,Not Applicable,0,Not Applicable,132,Net Banking,2.34,4.4,3.5
30-03-2025,13:57:22,CNR5549592507,Success,CUST144326,Prime Sedan,Hebbal,Ulsoor,4,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,542,Credit Card,5.37,3.9,3
13-03-2025,08:50:55,CNR2296161199,Cancelled by Driver,CUST552973,Prime Sedan,Domlur,HAL Layout,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Credit Card,0,0,0
28-03-2025,10:20:46,CNR7662357949,Success,CUST448851,Prime Sedan,KR Market,RT Nagar,2,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,128,Cash,5.91,3.9,4.5
01-03-2025,08:47:25,CNR2804201266,Success,CUST287052,Bike,Majestic,Banaswadi,8,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,228,UPI,13.72,4.8,4.2
22-03-2025,00:55:36,CNR9677016195,Success,CUST185564,Mini,Sanjay Nagar,Electronic City,9,18,0,Not Applicable,0,Not Applicable,0,Not Applicable,210,Wallet,12.25,4.9,3.4
01-03-2025,23:12:28,CNR3207031770,Success,CUST333571,eBike,Jayanagar,Koramangala,10,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,627,Net Banking,16.55,4.1,4.6
22-03-2025,08:10:52,CNR8368434210,Success,CUST407559,Prime Sedan,Bellandur,Jayanagar,7,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,357,Net Banking,8.52,4,4.6
29-03-2025,13:27:45,CNR6863889563,Cancelled by Driver,CUST792152,eBike,Bellandur,Majestic,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Debit Card,0,0,0
15-03-2025,06:35:34,CNR9119423328,Success,CUST176854,Mini,Padmanabhanagar,Indiranagar,4,18,0,Not Applicable,0,Not Applicable,0,Not Applicable,402,Wallet,4.34,3.6,3.9
09-03-2025,00:10:10,CNR2739124416,Success,CUST506402,Prime Sedan,Koramangala,JP Nagar,11,13,0,Not Applicable,0,Not Applicable,0,Not Applicable,428,UPI,15.88,3.5,4.3
04-03-2025,17:38:25,CNR8216885067,Cancelled by Driver,CUST670283,Mini,Seshadripuram,KR Puram,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Credit Card,0,0,0
23-03-2025,12:53:43,CNR6458420440,Success,CUST364381,eBike,Nagarbhavi,Indiranagar,4,11,0,Not Applicable,0,Not Applicable,0,Not Applicable,712,Debit Card,19.01,3.7,4.9
23-03-2025,10:16:54,CNR2398076901,Success,CUST418041,eBike,Ulsoor,Majestic,12,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,888,Net Banking,14.81,3.2,4.6
25-03-2025,14:57:15,CNR7314629261,Success,CUST935489,Bike,Marathahalli,Ulsoor,9,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,106,Debit Card,18.18,4.4,4.8
14-03-2025,10:50:14,CNR9601470885,Success,CUST653959,Auto,Yelahanka,Rajajinagar,4,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,959,Wallet,4.97,4.6,4.2
22-03-2025,23:59:46,CNR1919075616,Cancelled by Driver,CUST272826,Prime Plus,Banashankari,Whitefield,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Wallet,0,0,0
16-03-2025,14:47:38,CNR3438820274,Success,CUST399493,Auto,Seshadripuram,Vijayanagar,2,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,857,Net Banking,8.58,5,4.2
04-03-2025,09:12:09,CNR6203194136,Success,CUST253927,Bike,Whitefield,Kengeri,12,18,0,Not Applicable,0,Not Applicable,0,Not Applicable,769,Debit Card,10.76,3.5,4.8
30-03-2025,00:27:36,CNR6305461915,Cancelled by Driver,CUST912769,Mini,Kumaraswamy Layout,Richmond Town,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,UPI,0,0,0
31-03-2025,16:57:25,CNR2757516356,Success,CUST280745,Bike,Banerghatta Road,Yelahanka,8,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,378,Cash,14.78,4.9,4
29-03-2025,23:26:53,CNR3774620751,Success,CUST235943,Auto,JP Nagar,Kanakapura Road,8,5,0,Not Applicable,0,Not Applicable,0,Not Applicable,532,Credit Card,16.43,5,5
22-03-2025,15:26:07,CNR1797731003,Success,CUST378209,eBike,Jayanagar,RT Nagar,10,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,207,Wallet,2.75,4.3,3.3
10-03-2025,09:07:12,CNR2125579407,Success,CUST747735,Bike,Shivaji Nagar,Domlur,12,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,588,UPI,9.29,3.1,4.6
22-03-2025,14:57:49,CNR5805131670,Success,CUST965799,Bike,Domlur,Lavelle Road,6,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,252,Credit Card,2.39,4.4,4
07-03-2025,16:50:33,CNR4605073638,Success,CUST306936,Bike,KR Market,Jalahalli,9,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,196,Cash,7.41,3.9,3.8
08-03-2025,07:23:52,CNR9103542388,Cancelled by Driver,CUST892937,Prime Sedan,Wilson Garden,Frazer Town,0,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,0,Debit Card,0,0,0
23-03-2025,05:16:44,CNR2805914759,Success,CUST362344,Prime Sedan,Bommanahalli,Malleshwaram,11,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,255,UPI,16.51,3.8,3.3
15-03-2025,23:12:39,CNR6313251112,Success,CUST893867,Bike,KR Market,Basaveshwaranagar,7,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,671,UPI,3.9,3.5,3.5
22-03-2025,20:48:08,CNR5153619146,Success,CUST898563,Prime Plus,Kumaraswamy Layout,Marathahalli,12,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,468,Debit Card,2.75,3.3,3.7
17-03-2025,23:57:35,CNR1535200179,Success,CUST339289,Auto,Kengeri,KR Puram,11,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,742,Cash,9.52,4.5,4.3
29-03-2025,19:44:08,CNR8806765383,Success,CUST727061,Prime Plus,Kadubeesanahalli,Indiranagar,7,11,0,Not Applicable,0,Not Applicable,0,Not Applicable,220,Debit Card,16.54,4.3,4.9
22-03-2025,18:54:09,CNR2353926475,Cancelled by Driver,CUST817092,Auto,BTM Layout,Cox Town,0,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,0,Wallet,0,0,0
06-03-2025,16:33:45,CNR3739770829,Success,CUST246495,eBike,Domlur,Kanakapura Road,12,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,539,Net Banking,4.73,3.6,3.5
25-03-2025,09:46:40,CNR8079987909,Cancelled by Driver,CUST472098,Bike,Nagarbhavi,Hennur,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Wallet,0,0,0
26-03-2025,10:30:53,CNR8368965891,Success,CUST837946,Auto,Brigade Road,Richmond Town,14,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,581,Cash,16.06,4.5,3.7
29-03-2025,01:46:09,CNR3866440016,Success,CUST958561,Prime SUV,Kadubeesanahalli,KR Market,11,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,213,UPI,14.37,4.9,4.3
08-03-2025,10:25:13,CNR9704189377,Success,CUST755660,Prime Sedan,Sarjapur,HSR Layout,8,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,85,Debit Card,15.97,3.4,4.1
22-03-2025,03:41:00,CNR5951669391,Success,CUST681532,Prime SUV,Jalahalli,Hebbal,4,11,0,Not Applicable,0,Not Applicable,0,Not Applicable,1095,Debit Card,14.03,4,4.9
29-03-2025,13:31:46,CNR5498821478,Success,CUST630984,Prime Sedan,RT Nagar,Nagarbhavi,3,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,162,Wallet,11.57,3.3,4.9
05-03-2025,03:27:43,CNR5430686496,Success,CUST948207,Prime Sedan,Banerghatta Road,MG Road,3,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,441,Credit Card,5.57,3.9,3.9
08-03-2025,08:55:09,CNR5227475519,Success,CUST128496,Prime Sedan,Vijayanagar,Shivaji Nagar,11,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,557,UPI,8.09,3.1,4.9
20-03-2025,05:48:03,CNR2066788528,Cancelled by Driver,CUST604229,Prime Sedan,Kadubeesanahalli,Kumaraswamy Layout,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Net Banking,0,0,0
29-03-2025,01:15:06,CNR3249552971,Success,CUST605652,Prime Plus,Nagavara,RT Nagar,3,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,493,Debit Card,4.88,3.1,4.8
26-03-2025,22:10:51,CNR3132836951,Incomplete,CUST762035,Prime Sedan,Banashankari,Electronic City,0,0,0,Not Applicable,0,Not Applicable,1,Customer Demand,0,Debit Card,0,0,0
15-03-2025,07:43:32,CNR8634157308,Cancelled by Driver,CUST810548,Prime Sedan,Kadubeesanahalli,Banaswadi,0,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,0,Wallet,0,0,0
08-03-2025,03:40:58,CNR9175204399,Success,CUST189677,Auto,Hebbal,Vijayanagar,9,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,70,Debit Card,11.68,4.2,4.4
02-03-2025,12:06:10,CNR3812092196,Cancelled by Driver,CUST600582,Mini,HAL Layout,Electronic City,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Credit Card,0,0,0
09-03-2025,01:21:56,CNR8351811338,Success,CUST369136,Prime SUV,Yelahanka,Lavelle Road,7,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,415,UPI,12.93,3.6,4.7
04-03-2025,12:01:45,CNR4864012073,Cancelled by Driver,CUST439695,Prime Plus,Electronic City,Sanjay Nagar,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Wallet,0,0,0
19-03-2025,02:45:53,CNR5954546252,Success,CUST452286,eBike,Kanakapura Road,Basavanagudi,8,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,270,Credit Card,9.51,3.8,4.2
09-03-2025,20:30:32,CNR3117634415,Success,CUST461791,Prime Sedan,Seshadripuram,Marathahalli,4,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,206,Cash,13.75,4.1,3.3
31-03-2025,22:31:28,CNR3463145297,Success,CUST956604,Prime SUV,Whitefield,KR Puram,9,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,872,UPI,14.52,4.9,4.9
25-03-2025,22:30:46,CNR7164077940,Success,CUST824482,eBike,Bellandur,Yelahanka,2,7,0,Not Applicable,0,Not Applicable,0,Not Applicable,159,Net Banking,7.4,3.3,3.1
07-03-2025,07:48:58,CNR3931052285,Success,CUST889100,Prime SUV,Sarjapur,KR Puram,4,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,925,Debit Card,2.44,4.7,4.2
02-03-2025,14:05:44,CNR1688390916,Success,CUST189932,Bike,HAL Layout,Shivaji Nagar,12,13,0,Not Applicable,0,Not Applicable,0,Not Applicable,621,Wallet,13.75,4.9,3.4
16-03-2025,23:09:53,CNR6470409518,Cancelled by Driver,CUST675802,Mini,Shivaji Nagar,RT Nagar,0,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,0,Credit Card,0,0,0
29-03-2025,02:03:59,CNR9641782360,Incomplete,CUST766667,Mini,Sarjapur,Brigade Road,0,0,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,0,Credit Card,0,0,0
17-03-2025,11:28:12,CNR8537162360,Success,CUST424115,Auto,Jayanagar,Ulsoor,11,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,1806,UPI,12.62,4.6,3.3
29-03-2025,03:57:58,CNR2130859020,Cancelled by Customer,CUST901254,Bike,Koramangala,Peenya,0,0,1,Wrong Address,0,Not Applicable,0,Not Applicable,0,Debit Card,0,0,0
29-03-2025,14:21:26,CNR3448752974,Success,CUST987912,eBike,Kumaraswamy Layout,Ulsoor,8,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,358,Credit Card,13.58,4,4.6
17-03-2025,02:50:34,CNR5742786466,Success,CUST296118,Bike,Sanjay Nagar,Electronic City,2,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,442,Credit Card,15.3,4.4,3.9
22-03-2025,16:15:29,CNR4107241045,Success,CUST779034,eBike,Majestic,Majestic,5,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,281,Debit Card,11.42,3.6,4.4
15-03-2025,07:25:30,CNR6975157809,Cancelled by Customer,CUST265584,Prime Sedan,BTM Layout,Richmond Town,0,0,1,AC is not working,0,Not Applicable,0,Not Applicable,0,Wallet,0,0,0
11-03-2025,01:23:10,CNR4458982953,Cancelled by Customer,CUST735182,Auto,Hebbal,Cox Town,0,0,1,Change of plans,0,Not Applicable,0,Not Applicable,0,Debit Card,0,0,0
07-03-2025,08:09:48,CNR2381107544,Cancelled by Customer,CUST266499,Prime Plus,Kengeri,Rajajinagar,0,0,1,Driver asked to cancel,0,Not Applicable,0,Not Applicable,0,Cash,0,0,0
12-03-2025,16:56:38,CNR2349113353,Success,CUST283436,Bike,Koramangala,Nagavara,10,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,164,Debit Card,4.78,3.4,3.6
12-03-2025,02:58:21,CNR1230591473,Success,CUST384135,Prime Sedan,KR Market,HAL Layout,9,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,627,Credit Card,6.86,4,4
15-03-2025,19:58:42,CNR6039395314,Success,CUST313805,Prime Plus,Lavelle Road,Rajajinagar,8,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,361,Debit Card,11.08,3.2,3.2
01-03-2025,10:27:22,CNR3254021253,Cancelled by Driver,CUST324164,eBike,Koramangala,Richmond Town,0,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,0,Credit Card,0,0,0
23-03-2025,06:25:31,CNR5500058855,Success,CUST361217,Prime Sedan,Peenya,Yelahanka,3,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,422,Debit Card,19.92,4.3,4.5
24-03-2025,10:11:42,CNR2243605591,Success,CUST453989,Auto,Hebbal,HAL Layout,8,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,426,UPI,6.63,4.9,4.5
17-03-2025,08:28:47,CNR9718517965,Success,CUST806479,Auto,Marathahalli,Yelahanka,9,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,358,Credit Card,11.04,4.9,4.9
18-03-2025,02:45:27,CNR5840299550,Incomplete,CUST879383,Prime SUV,Vijayanagar,Brigade Road,0,0,0,Not Applicable,0,Not Applicable,1,Customer Demand,0,UPI,0,0,0
23-03-2025,09:36:27,CNR3049917761,Success,CUST645896,Prime Sedan,BTM Layout,BTM Layout,3,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,201,Credit Card,5.69,4.2,3.3
08-03-2025,02:19:01,CNR2117037512,Success,CUST549782,Prime Plus,KR Puram,KR Puram,12,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,91,Net Banking,4.91,4.6,4.8
11-03-2025,23:55:03,CNR1140098531,Success,CUST899599,Prime SUV,Shivaji Nagar,Hebbal,14,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,64,UPI,9.29,4.4,3.6
05-03-2025,01:09:43,CNR8558430031,Success,CUST784919,Auto,Nagavara,Brigade Road,7,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,1199,Debit Card,7.74,4.6,3.5
16-03-2025,09:16:37,CNR8749203362,Success,CUST846470,Prime Sedan,Kadubeesanahalli,Basavanagudi,14,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,473,Net Banking,15.72,4.1,4.5
09-03-2025,12:32:48,CNR4295629027,Cancelled by Customer,CUST397341,Auto,Banaswadi,Jayanagar,0,0,1,Wrong Address,0,Not Applicable,0,Not Applicable,0,UPI,0,0,0
29-03-2025,23:28:55,CNR1340379322,Success,CUST186424,eBike,Shivaji Nagar,Brigade Road,3,8,0,Not Applicable,0,Not Applicable,0,Not Applicable,213,Cash,3.19,3.7,4.1
23-03-2025,11:37:31,CNR6414413528,Success,CUST205909,Bike,Bellandur,Nagarbhavi,8,11,0,Not Applicable,0,Not Applicable,0,Not Applicable,1178,Debit Card,3.58,3.1,3.9
30-03-2025,23:59:59,CNR8913654219,Success,CUST249837,Auto,Peenya,KR Puram,3,5,0,Not Applicable,0,Not Applicable,0,Not Applicable,176,Debit Card,6.11,4,4.1
21-03-2025,20:05:48,CNR9377582878,Cancelled by Driver,CUST422230,Auto,Jalahalli,Domlur,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Credit Card,0,0,0
24-03-2025,06:02:35,CNR6727233951,Success,CUST271448,Bike,Cox Town,MG Road,5,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,958,Net Banking,3.18,3.1,4.9
30-03-2025,11:35:32,CNR4453952631,Cancelled by Driver,CUST213647,Mini,Majestic,Banashankari,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Wallet,0,0,0
15-03-2025,10:31:14,CNR9010312166,Cancelled by Driver,CUST723829,Mini,MG Road,Richmond Town,0,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,0,Net Banking,0,0,0
13-03-2025,01:12:48,CNR9208312443,Success,CUST675128,Mini,Bommanahalli,Richmond Town,12,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,219,UPI,19.37,3.8,3.1
09-03-2025,06:36:27,CNR2560536519,Success,CUST896431,Bike,Vijayanagar,Cox Town,5,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,1235,Credit Card,12.43,3.3,4.8
29-03-2025,02:42:34,CNR7161483272,Cancelled by Driver,CUST705573,Prime SUV,Hebbal,Kumaraswamy Layout,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Wallet,0,0,0
07-03-2025,09:36:01,CNR2823039573,Success,CUST588837,Prime SUV,Seshadripuram,KR Market,6,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,936,Wallet,11.92,4.1,3.2
20-03-2025,13:38:08,CNR5899444807,Cancelled by Driver,CUST262389,Mini,Padmanabhanagar,Richmond Town,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Wallet,0,0,0
09-03-2025,12:06:42,CNR2700979488,Success,CUST646279,Prime Plus,Banerghatta Road,Brigade Road,5,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,861,Wallet,5.81,3.9,4
27-03-2025,13:06:55,CNR7316503599,Success,CUST412359,Auto,Hennur,Koramangala,11,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,267,Debit Card,15.15,3.7,3.1
16-03-2025,21:30:21,CNR6663399875,Success,CUST737934,Prime Sedan,Indiranagar,Kumaraswamy Layout,7,10,0,Not Applicable,0,Not Applicable,0,Not Applicable,251,Debit Card,5.87,4.7,3.8
11-03-2025,13:58:31,CNR2472892355,Success,CUST707667,Prime SUV,Domlur,Malleshwaram,6,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,461,Debit Card,3.92,3.5,4.7
02-03-2025,00:30:55,CNR3037146091,Incomplete,CUST591049,Auto,Shivaji Nagar,Majestic,0,0,0,Not Applicable,0,Not Applicable,1,Other Issue,0,Cash,0,0,0
29-03-2025,08:58:45,CNR3776569786,Success,CUST234652,Prime Plus,Banerghatta Road,Domlur,9,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,382,UPI,1.82,3.1,3.2
02-03-2025,02:19:13,CNR4865784694,Incomplete,CUST226599,Prime Plus,Electronic City,Electronic City,0,0,0,Not Applicable,0,Not Applicable,1,Customer Demand,0,Cash,0,0,0
07-03-2025,12:29:23,CNR7701941558,Success,CUST692965,Prime Plus,Yelahanka,Vijayanagar,4,5,0,Not Applicable,0,Not Applicable,0,Not Applicable,255,Cash,15.65,4.6,3.1
30-03-2025,15:07:53,CNR9878356910,Success,CUST417603,Mini,HAL Layout,Vijayanagar,2,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,1048,Debit Card,8.01,4,4.2
22-03-2025,07:16:26,CNR8065201355,Cancelled by Driver,CUST284449,Mini,Shivaji Nagar,Bellandur,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Cash,0,0,0
05-03-2025,14:39:41,CNR2829307657,Success,CUST865357,Mini,Peenya,Hebbal,14,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,772,Cash,17.9,3.6,4.2
29-03-2025,00:26:59,CNR3565913157,Cancelled by Driver,CUST189566,Mini,Majestic,Yelahanka,0,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,0,Cash,0,0,0
04-03-2025,20:29:26,CNR6820772928,Success,CUST693528,Prime Sedan,Basaveshwaranagar,Indiranagar,12,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,916,Cash,10.96,4.3,3.8
29-03-2025,16:01:40,CNR3040090263,Success,CUST281972,Bike,Banaswadi,Indiranagar,12,5,0,Not Applicable,0,Not Applicable,0,Not Applicable,613,Debit Card,8.46,3.6,3
22-03-2025,11:11:01,CNR6859918380,Success,CUST330375,Mini,BTM Layout,Whitefield,4,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,212,UPI,5.39,3,3.4
14-03-2025,17:56:56,CNR9515522826,Success,CUST340638,Bike,Banaswadi,Bommanahalli,2,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,870,Credit Card,6.8,3.7,4.9
29-03-2025,22:12:16,CNR6764219204,Success,CUST307094,Prime Sedan,Hennur,Hosur Road,10,18,0,Not Applicable,0,Not Applicable,0,Not Applicable,1803,Credit Card,10.27,3.7,3.5
21-03-2025,08:11:46,CNR4941758965,Cancelled by Driver,CUST144956,Auto,Vijayanagar,Vijayanagar,0,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,0,Wallet,0,0,0
30-03-2025,19:52:45,CNR5600315330,Success,CUST653114,Bike,Vijayanagar,Sanjay Nagar,10,6,0,Not Applicable,0,Not Applicable,0,Not Applicable,223,Cash,10.2,3.1,4.1
23-03-2025,03:25:26,CNR5477765774,Cancelled by Customer,CUST484226,eBike,Vijayanagar,Banaswadi,0,0,1,Driver is not moving towards pickup location,0,Not Applicable,0,Not Applicable,0,UPI,0,0,0
29-03-2025,17:03:42,CNR5426852142,Success,CUST705908,Prime Sedan,Bommanahalli,BTM Layout,3,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,532,Debit Card,15.03,3.1,3.4
17-03-2025,14:54:01,CNR1781995853,Success,CUST717172,Mini,Nagarbhavi,RT Nagar,12,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,341,Cash,15.2,4,4.4
06-03-2025,02:26:46,CNR3751208626,Success,CUST412289,Bike,Yelahanka,HSR Layout,4,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,850,Credit Card,19.67,3.2,4.9
15-03-2025,10:07:47,CNR9094654003,Success,CUST590447,Prime SUV,Kadubeesanahalli,Banerghatta Road,2,16,0,Not Applicable,0,Not Applicable,0,Not Applicable,217,UPI,16.73,3.1,3.8
23-03-2025,17:02:02,CNR1308885931,Success,CUST701388,Mini,Banaswadi,Majestic,9,9,0,Not Applicable,0,Not Applicable,0,Not Applicable,617,UPI,2.61,4.8,4.9
18-03-2025,15:15:50,CNR9623150392,Cancelled by Customer,CUST442670,eBike,Bommanahalli,Hosur Road,0,0,1,Change of plans,0,Not Applicable,0,Not Applicable,0,UPI,0,0,0
